id,exp,gold,id1,count1,id2,count2,id3,count3,id4,count4,id5,count5,id6,count6
101,10,100,,,,,,,,,,,,
102,20,300,200100001,10,200100002,10,,,,,,,,
201,10,100,300000004,1,,,,,,,,,,
202,50,500,100001002,1,100002001,1,100003001,1,100004001,1,,,,
203,50,100,,,,,,,,,,,,
301,20,500,100005001,1,,,,,,,,,,
302,50,1000,100006001,1,,,,,,,,,,
401,20,500,200100001,30,200100002,30,200100003,30,200100004,30,200200001,30,200200002,30
501,100,300,,,,,,,,,,,,
601,1,0,,,,,,,,,,,,
602,1,0,,,,,,,,,,,,
603,1,0,,,,,,,,,,,,
604,1,0,,,,,,,,,,,,
605,1,0,,,,,,,,,,,,
606,500,2000,100001004,1,,,,,,,,,,
